geo_name,median_income_2012,median_income_2022,dollar_change,percentage_change
Texas,66654.0,73035.0,6381.0,9.573318930596814
Dallas County,63546.0,70732.0,7186.0,11.308343562143959
Austin,67776.0,86556.0,18780.0,27.708923512747873
Dallas,54855.0,63985.0,9130.0,16.643879318202533
Houston,57715.0,60440.0,2725.0,4.721476219353721
"Dallas-Fort Worth-Arlington, TX",75220.0,83398.0,8178.0,10.872108481786759

Source: ACS 2012 & 2022 B19013_MedianHouseholdIncome
