year,FIPS,area_name,age_in_yrs_num,age_in_yrs_char,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
2010,113,Dallas County,-1,All Ages,2368139,1171002,1197137,784693,383504,401189,518732,239252,279480,905940,470056,435884,117797,58524,59273,40977,19666,21311
2010,113,Dallas County,0,< 1 yr,38082,19448,18634,7103,3675,3428,7739,3979,3760,20364,10299,10065,1754,924,830,1122,571,551
2010,113,Dallas County,1,1 yr,38194,19471,18723,6960,3536,3424,7873,3981,3892,20508,10518,9990,1764,903,861,1089,533,556
2010,113,Dallas County,2,2 yrs,39311,20193,19118,7065,3579,3486,8131,4203,3928,21186,10927,10259,1797,909,888,1132,575,557
2010,113,Dallas County,3,3 yrs,38979,20051,18928,6963,3626,3337,8209,4239,3970,21081,10838,10243,1725,866,859,1001,482,519
2010,113,Dallas County,4,4 yrs,38272,19536,18736,6796,3513,3283,8230,4177,4053,20546,10475,10071,1705,871,834,995,500,495
2010,113,Dallas County,5,5 yrs,37466,19131,18335,6795,3507,3288,8048,4088,3960,20089,10245,9844,1658,851,807,876,440,436
2010,113,Dallas County,6,6 yrs,36697,18726,17971,6712,3451,3261,8014,4014,4000,19451,9946,9505,1638,869,769,882,446,436
2010,113,Dallas County,7,7 yrs,36015,18369,17646,6557,3407,3150,7924,3992,3932,19089,9730,9359,1599,804,795,846,436,410
2010,113,Dallas County,8,8 yrs,36693,18771,17922,6685,3450,3235,8205,4160,4045,19528,10009,9519,1493,749,744,782,403,379
2010,113,Dallas County,9,9 yrs,36640,18810,17830,6847,3598,3249,8151,4191,3960,19270,9827,9443,1576,808,768,796,386,410
2010,113,Dallas County,10,10 yrs,36059,18354,17705,6853,3522,3331,8461,4230,4231,18529,9483,9046,1427,704,723,789,415,374
2010,113,Dallas County,11,11 yrs,34799,17647,17152,6882,3560,3322,8140,4105,4035,17645,8910,8735,1338,690,648,794,382,412
2010,113,Dallas County,12,12 yrs,34261,17493,16768,6927,3577,3350,8199,4201,3998,17032,8645,8387,1298,668,630,805,402,403
2010,113,Dallas County,13,13 yrs,34229,17415,16814,7278,3740,3538,8240,4122,4118,16667,8542,8125,1305,639,666,739,372,367
2010,113,Dallas County,14,14 yrs,34055,17320,16735,7239,3688,3551,8253,4243,4010,16471,8320,8151,1325,667,658,767,402,365
2010,113,Dallas County,15,15 yrs,34622,17837,16785,7542,3902,3640,8683,4403,4280,16265,8436,7829,1336,696,640,796,400,396
2010,113,Dallas County,16,16 yrs,34816,17817,16999,7776,4002,3774,8712,4384,4328,16156,8355,7801,1438,707,731,734,369,365
2010,113,Dallas County,17,17 yrs,35073,17898,17175,7824,3997,3827,9003,4486,4517,16231,8415,7816,1302,663,639,713,337,376
2010,113,Dallas County,18,18 yrs,33388,17232,16156,7800,3991,3809,8106,4144,3962,15586,8150,7436,1295,654,641,601,293,308
2010,113,Dallas County,19,19 yrs,31294,16152,15142,7105,3617,3488,7445,3727,3718,14957,7869,7088,1188,637,551,599,302,297
2010,113,Dallas County,20,20 yrs,31826,16517,15309,7548,3890,3658,7286,3558,3728,15051,8075,6976,1349,711,638,592,283,309
2010,113,Dallas County,21,21 yrs,31692,16331,15361,7665,3745,3920,7117,3439,3678,14861,8130,6731,1505,774,731,544,243,301
2010,113,Dallas County,22,22 yrs,33714,17237,16477,8869,4278,4591,7142,3391,3751,15480,8394,7086,1629,904,725,594,270,324
2010,113,Dallas County,23,23 yrs,36023,18084,17939,10488,4946,5542,7222,3383,3839,15852,8595,7257,1844,910,934,617,250,367
2010,113,Dallas County,24,24 yrs,38326,19074,19252,11850,5621,6229,7475,3366,4109,16172,8692,7480,2150,1066,1084,679,329,350
2010,113,Dallas County,25,25 yrs,38760,19425,19335,12328,5895,6433,7437,3373,4064,16155,8717,7438,2193,1151,1042,647,289,358
2010,113,Dallas County,26,26 yrs,38790,19438,19352,12088,6010,6078,7389,3325,4064,16130,8631,7499,2521,1159,1362,662,313,349
2010,113,Dallas County,27,27 yrs,40421,20195,20226,12266,6149,6117,7768,3425,4343,16994,9026,7968,2655,1264,1391,738,331,407
2010,113,Dallas County,28,28 yrs,39869,20182,19687,11993,6058,5935,7668,3424,4244,16845,9069,7776,2632,1295,1337,731,336,395
2010,113,Dallas County,29,29 yrs,39991,20030,19961,11678,5886,5792,7962,3498,4464,17147,9147,8000,2597,1213,1384,607,286,321
2010,113,Dallas County,30,30 yrs,40228,20310,19918,11200,5769,5431,8111,3535,4576,17528,9348,8180,2679,1315,1364,710,343,367
2010,113,Dallas County,31,31 yrs,37209,18841,18368,10253,5276,4977,7664,3359,4305,16190,8656,7534,2497,1256,1241,605,294,311
2010,113,Dallas County,32,32 yrs,37150,18721,18429,10023,5130,4893,7442,3219,4223,16725,8921,7804,2395,1210,1185,565,241,324
2010,113,Dallas County,33,33 yrs,36485,18195,18290,9782,5098,4684,7491,3235,4256,16279,8414,7865,2368,1186,1182,565,262,303
2010,113,Dallas County,34,34 yrs,36138,17870,18268,9502,4892,4610,7328,3125,4203,16194,8314,7880,2571,1271,1300,543,268,275
2010,113,Dallas County,35,35 yrs,36884,18559,18325,9754,5059,4695,7507,3294,4213,16580,8655,7925,2504,1294,1210,539,257,282
2010,113,Dallas County,36,36 yrs,34735,17184,17551,9287,4759,4528,7418,3195,4223,15209,7785,7424,2372,1226,1146,449,219,230
2010,113,Dallas County,37,37 yrs,35129,17650,17479,9611,5032,4579,7689,3398,4291,14997,7787,7210,2285,1168,1117,547,265,282
2010,113,Dallas County,38,38 yrs,35449,17705,17744,10154,5234,4920,7950,3523,4427,14631,7537,7094,2223,1172,1051,491,239,252
2010,113,Dallas County,39,39 yrs,35939,17832,18107,11044,5735,5309,8257,3596,4661,13922,7105,6817,2186,1153,1033,530,243,287
2010,113,Dallas County,40,40 yrs,35758,17889,17869,11046,5729,5317,8068,3544,4524,14073,7332,6741,2058,1031,1027,513,253,260
2010,113,Dallas County,41,41 yrs,32952,16788,16164,10407,5397,5010,7453,3407,4046,12700,6741,5959,1939,1023,916,453,220,233
2010,113,Dallas County,42,42 yrs,32574,16376,16198,10209,5240,4969,7690,3447,4243,12408,6527,5881,1785,934,851,482,228,254
2010,113,Dallas County,43,43 yrs,31624,15940,15684,10270,5329,4941,7515,3369,4146,11833,6274,5559,1599,772,827,407,196,211
2010,113,Dallas County,44,44 yrs,31943,16063,15880,10483,5379,5104,7903,3511,4392,11535,6156,5379,1584,807,777,438,210,228
2010,113,Dallas County,45,45 yrs,33580,17024,16556,11797,6140,5657,8413,3775,4638,11272,6069,5203,1596,813,783,502,227,275
2010,113,Dallas County,46,46 yrs,32967,16617,16350,12423,6300,6123,8080,3598,4482,10381,5661,4720,1603,818,785,480,240,240
2010,113,Dallas County,47,47 yrs,33063,16396,16667,13181,6694,6487,8018,3548,4470,9821,5159,4662,1554,766,788,489,229,260
2010,113,Dallas County,48,48 yrs,32526,16123,16403,13616,6785,6831,7924,3606,4318,9158,4850,4308,1410,691,719,418,191,227
2010,113,Dallas County,49,49 yrs,32839,16370,16469,13803,6930,6873,8011,3641,4370,9087,4845,4242,1472,747,725,466,207,259
2010,113,Dallas County,50,50 yrs,32811,16398,16413,14109,7039,7070,8007,3711,4296,8742,4708,4034,1486,707,779,467,233,234
2010,113,Dallas County,51,51 yrs,31025,15311,15714,13845,6956,6889,7506,3400,4106,7891,4132,3759,1374,633,741,409,190,219
2010,113,Dallas County,52,52 yrs,30682,15142,15540,14095,7058,7037,7385,3388,3997,7320,3797,3523,1436,678,758,446,221,225
2010,113,Dallas County,53,53 yrs,29707,14460,15247,13779,6787,6992,7130,3191,3939,6943,3598,3345,1451,697,754,404,187,217
2010,113,Dallas County,54,54 yrs,28683,14134,14549,13649,6864,6785,6738,3062,3676,6550,3381,3169,1343,623,720,403,204,199
2010,113,Dallas County,55,55 yrs,27809,13599,14210,13655,6744,6911,6402,2890,3512,6100,3178,2922,1280,617,663,372,170,202
2010,113,Dallas County,56,56 yrs,25420,12133,13287,12819,6140,6679,5678,2534,3144,5340,2715,2625,1232,574,658,351,170,181
2010,113,Dallas County,57,57 yrs,25039,11998,13041,12805,6226,6579,5529,2451,3078,5031,2555,2476,1310,603,707,364,163,201
2010,113,Dallas County,58,58 yrs,23532,11065,12467,12128,5803,6325,5343,2281,3062,4610,2288,2322,1114,527,587,337,166,171
2010,113,Dallas County,59,59 yrs,22814,10837,11977,11491,5564,5927,5318,2273,3045,4491,2295,2196,1213,555,658,301,150,151
2010,113,Dallas County,60,60 yrs,21838,10272,11566,11348,5427,5921,4946,2141,2805,4054,2013,2041,1191,554,637,299,137,162
2010,113,Dallas County,61,61 yrs,20968,9914,11054,11049,5282,5767,4803,2099,2704,3799,1922,1877,1044,490,554,273,121,152
2010,113,Dallas County,62,62 yrs,20859,9735,11124,11612,5504,6108,4577,2015,2562,3456,1645,1811,942,435,507,272,136,136
2010,113,Dallas County,63,63 yrs,19907,9322,10585,11650,5597,6053,3925,1697,2228,3191,1503,1688,864,410,454,277,115,162
2010,113,Dallas County,64,64 yrs,15544,7229,8315,8377,3949,4428,3337,1437,1900,2866,1385,1481,761,353,408,203,105,98
2010,113,Dallas County,65,65 yrs,15580,7139,8441,8525,3947,4578,3390,1399,1991,2611,1295,1316,804,391,413,250,107,143
2010,113,Dallas County,66,66 yrs,14867,6939,7928,8428,4054,4374,3006,1294,1712,2492,1152,1340,722,341,381,219,98,121
2010,113,Dallas County,67,67 yrs,14088,6441,7647,8199,3797,4402,2890,1227,1663,2137,993,1144,702,343,359,160,81,79
2010,113,Dallas County,68,68 yrs,12310,5553,6757,7129,3260,3869,2575,1079,1496,1888,890,998,554,244,310,164,80,84
2010,113,Dallas County,69,69 yrs,11796,5293,6503,6806,3117,3689,2447,974,1473,1875,887,988,534,248,286,134,67,67
2010,113,Dallas County,70,70 yrs,10809,4818,5991,6276,2836,3440,2186,903,1283,1720,785,935,498,238,260,129,56,73
2010,113,Dallas County,71,71 yrs,10209,4585,5624,6109,2796,3313,1994,825,1169,1526,686,840,464,229,235,116,49,67
2010,113,Dallas County,72,72 yrs,9567,4298,5269,5776,2629,3147,1824,756,1068,1436,655,781,428,210,218,103,48,55
2010,113,Dallas County,73,73 yrs,8892,3865,5027,5361,2356,3005,1733,694,1039,1280,578,702,424,196,228,94,41,53
2010,113,Dallas County,74,74 yrs,8618,3721,4897,5324,2358,2966,1610,604,1006,1206,547,659,369,174,195,109,38,71
2010,113,Dallas County,75,75 yrs,8441,3516,4925,5333,2205,3128,1573,657,916,1129,477,652,313,143,170,93,34,59
2010,113,Dallas County,76,76 yrs,7795,3302,4493,4980,2117,2863,1472,573,899,1005,457,548,265,121,144,73,34,39
2010,113,Dallas County,77,77 yrs,7375,3016,4359,4824,2017,2807,1367,479,888,864,372,492,242,116,126,78,32,46
2010,113,Dallas County,78,78 yrs,7023,2906,4117,4794,2017,2777,1088,397,691,830,368,462,243,96,147,68,28,40
2010,113,Dallas County,79,79 yrs,6805,2728,4077,4633,1891,2742,1080,381,699,809,340,469,212,93,119,71,23,48
2010,113,Dallas County,80,80 yrs,6591,2571,4020,4478,1793,2685,1079,344,735,761,327,434,210,85,125,63,22,41
2010,113,Dallas County,81,81 yrs,6043,2330,3713,4268,1710,2558,957,298,659,587,227,360,177,75,102,54,20,34
2010,113,Dallas County,82,82 yrs,5389,2033,3356,3832,1453,2379,784,276,508,559,213,346,149,70,79,65,21,44
2010,113,Dallas County,83,83 yrs,5099,1956,3143,3699,1434,2265,710,222,488,541,239,302,103,38,65,46,23,23
2010,113,Dallas County,84,84 yrs,4868,1791,3077,3567,1371,2196,710,219,491,442,143,299,113,44,69,36,14,22
2010,113,Dallas County,85,85 yrs,4405,1495,2910,3321,1117,2204,573,171,402,386,150,236,96,42,54,29,15,14
2010,113,Dallas County,86,86 yrs,3889,1291,2598,2916,983,1933,493,122,371,348,139,209,96,33,63,36,14,22
2010,113,Dallas County,87,87 yrs,3443,1175,2268,2620,890,1730,447,128,319,260,114,146,83,32,51,33,11,22
2010,113,Dallas County,88,88 yrs,2970,994,1976,2323,797,1526,356,100,256,230,75,155,47,22,25,14,0,14
2010,113,Dallas County,89,89 yrs,2562,800,1762,1960,629,1331,319,75,244,212,71,141,44,15,29,27,10,17
2010,113,Dallas County,90,90 yrs,2007,630,1377,1538,491,1047,267,70,197,141,46,95,40,15,25,21,8,13
2010,113,Dallas County,91,91 yrs,1571,445,1126,1218,323,895,206,57,149,112,50,62,22,8,14,13,7,6
2010,113,Dallas County,92,92 yrs,1260,357,903,969,268,701,177,44,133,75,31,44,30,11,19,9,3,6
2010,113,Dallas County,93,93 yrs,944,221,723,735,170,565,137,28,109,55,17,38,11,5,6,6,1,5
2010,113,Dallas County,94,94 yrs,735,183,552,542,131,411,115,31,84,60,20,40,13,1,12,5,0,5
2010,113,Dallas County,95,95+ yrs,2021,424,1597,1472,284,1188,379,79,300,118,46,72,32,10,22,20,5,15
2011,113,Dallas County,-1,All Ages,2404557,1188118,1216439,785259,384044,401215,528481,243814,284667,924556,478381,446175,123946,61575,62371,42315,20304,22011
2011,113,Dallas County,0,< 1 yr,39160,19981,19179,9278,4731,4547,7827,3995,3832,18885,9632,9253,1956,1002,954,1214,621,593
2011,113,Dallas County,1,1 yr,37990,19375,18615,7013,3627,3386,7752,3975,3777,20306,10258,10048,1797,945,852,1122,570,552
2011,113,Dallas County,2,2 yrs,38345,19536,18809,6907,3509,3398,7975,4028,3947,20551,10534,10017,1813,927,886,1099,538,561
2011,113,Dallas County,3,3 yrs,39468,20263,19205,7011,3551,3460,8235,4253,3982,21234,10945,10289,1845,933,912,1143,581,562
2011,113,Dallas County,4,4 yrs,39137,20121,19016,6911,3599,3312,8317,4291,4026,21129,10857,10272,1771,888,883,1009,486,523
2011,113,Dallas County,5,5 yrs,38430,19603,18827,6744,3486,3258,8339,4227,4112,20594,10493,10101,1750,893,857,1003,504,499
2011,113,Dallas County,6,6 yrs,37590,19167,18423,6762,3487,3275,8141,4135,4006,20105,10233,9872,1697,869,828,885,443,442
2011,113,Dallas County,7,7 yrs,36822,18763,18059,6680,3431,3249,8105,4059,4046,19469,9936,9533,1677,888,789,891,449,442
2011,113,Dallas County,8,8 yrs,36135,18403,17732,6525,3387,3138,8017,4038,3979,19102,9718,9384,1636,821,815,855,439,416
2011,113,Dallas County,9,9 yrs,36814,18806,18008,6653,3430,3223,8298,4207,4091,19545,9998,9547,1528,765,763,790,406,384
2011,113,Dallas County,10,10 yrs,36765,18846,17919,6814,3577,3237,8245,4238,4007,19287,9816,9471,1614,826,788,805,389,416
2011,113,Dallas County,11,11 yrs,36176,18421,17755,6822,3499,3323,8454,4227,4227,18636,9552,9084,1477,729,748,787,414,373
2011,113,Dallas County,12,12 yrs,34905,17707,17198,6850,3536,3314,8131,4101,4030,17746,8974,8772,1386,715,671,792,381,411
2011,113,Dallas County,13,13 yrs,34365,17552,16813,6896,3554,3342,8191,4197,3994,17131,8708,8423,1344,692,652,803,401,402
2011,113,Dallas County,14,14 yrs,34330,17471,16859,7247,3717,3530,8231,4117,4114,16764,8604,8160,1351,662,689,737,371,366
2011,113,Dallas County,15,15 yrs,34127,17362,16765,7223,3684,3539,8224,4222,4002,16545,8365,8180,1371,691,680,764,400,364
2011,113,Dallas County,16,16 yrs,35578,18289,17289,7911,4078,3833,8799,4455,4344,16580,8579,8001,1487,776,711,801,401,400
2011,113,Dallas County,17,17 yrs,35457,18077,17380,8068,4125,3943,8700,4362,4338,16392,8456,7936,1579,776,803,718,358,360
2011,113,Dallas County,18,18 yrs,34192,17508,16684,7608,3929,3679,8573,4305,4268,15986,8273,7713,1323,675,648,702,326,376
2011,113,Dallas County,19,19 yrs,31702,16366,15336,7197,3651,3546,7698,3952,3746,14941,7828,7113,1276,650,626,590,285,305
2011,113,Dallas County,20,20 yrs,32337,16582,15755,7385,3753,3632,7634,3796,3838,15364,8014,7350,1333,715,618,621,304,317
2011,113,Dallas County,21,21 yrs,32995,16989,16006,7919,4067,3852,7737,3736,4001,15191,8097,7094,1517,787,730,631,302,329
2011,113,Dallas County,22,22 yrs,33250,16962,16288,8261,4020,4241,7627,3660,3967,15042,8147,6895,1730,865,865,590,270,320
2011,113,Dallas County,23,23 yrs,35776,18151,17625,9905,4761,5144,7599,3581,4018,15703,8463,7240,1926,1060,866,643,286,357
2011,113,Dallas County,24,24 yrs,37857,18938,18919,11328,5374,5954,7615,3547,4068,16150,8716,7434,2090,1028,1062,674,273,401
2011,113,Dallas County,25,25 yrs,40188,19879,20309,12748,6070,6678,7931,3539,4392,16356,8748,7608,2430,1175,1255,723,347,376
2011,113,Dallas County,26,26 yrs,39280,19698,19582,12466,5999,6467,7675,3482,4193,16126,8663,7463,2343,1258,1085,670,296,374
2011,113,Dallas County,27,27 yrs,39037,19514,19523,12032,6023,6009,7609,3407,4202,16041,8537,7504,2676,1226,1450,679,321,358
2011,113,Dallas County,28,28 yrs,40852,20443,20409,12363,6257,6106,7970,3528,4442,16915,8948,7967,2848,1371,1477,756,339,417
2011,113,Dallas County,29,29 yrs,40003,20164,19839,11859,5993,5866,7876,3501,4375,16715,8949,7766,2813,1386,1427,740,335,405
2011,113,Dallas County,30,30 yrs,40216,20096,20120,11671,5916,5755,8157,3571,4586,17051,9058,7993,2705,1250,1455,632,301,331
2011,113,Dallas County,31,31 yrs,40402,20388,20014,11106,5720,5386,8278,3610,4668,17454,9281,8173,2845,1429,1416,719,348,371
2011,113,Dallas County,32,32 yrs,37151,18777,18374,10122,5215,4907,7777,3421,4356,16080,8563,7517,2572,1287,1285,600,291,309
2011,113,Dallas County,33,33 yrs,37103,18664,18439,9896,5071,4825,7564,3276,4288,16584,8804,7780,2485,1267,1218,574,246,328
2011,113,Dallas County,34,34 yrs,36347,18098,18249,9640,5021,4619,7595,3293,4302,16120,8302,7818,2427,1217,1210,565,265,300
2011,113,Dallas County,35,35 yrs,36052,17792,18260,9360,4820,4540,7434,3175,4259,16080,8230,7850,2638,1302,1336,540,265,275
2011,113,Dallas County,36,36 yrs,36783,18473,18310,9639,4993,4646,7551,3312,4239,16496,8588,7908,2551,1317,1234,546,263,283
2011,113,Dallas County,37,37 yrs,34651,17098,17553,9178,4697,4481,7463,3212,4251,15143,7724,7419,2417,1247,1170,450,218,232
2011,113,Dallas County,38,38 yrs,35005,17536,17469,9494,4964,4530,7726,3407,4319,14910,7713,7197,2327,1186,1141,548,266,282
2011,113,Dallas County,39,39 yrs,35319,17612,17707,10032,5168,4864,7977,3530,4447,14553,7481,7072,2264,1191,1073,493,242,251
2011,113,Dallas County,40,40 yrs,35839,17755,18084,10909,5664,5245,8316,3625,4691,13857,7048,6809,2228,1174,1054,529,244,285
2011,113,Dallas County,41,41 yrs,35778,17868,17910,10986,5688,5298,8078,3542,4536,14102,7336,6766,2100,1051,1049,512,251,261
2011,113,Dallas County,42,42 yrs,32940,16754,16186,10337,5349,4988,7443,3397,4046,12726,6745,5981,1977,1041,936,457,222,235
2011,113,Dallas County,43,43 yrs,32546,16331,16215,10145,5196,4949,7684,3442,4242,12418,6518,5900,1819,950,869,480,225,255
2011,113,Dallas County,44,44 yrs,31590,15889,15701,10200,5283,4917,7502,3356,4146,11856,6273,5583,1628,783,845,404,194,210
2011,113,Dallas County,45,45 yrs,31921,16039,15882,10407,5338,5069,7906,3513,4393,11553,6155,5398,1618,824,794,437,209,228
2011,113,Dallas County,46,46 yrs,33583,16999,16584,11744,6107,5637,8394,3761,4633,11314,6079,5235,1628,825,803,503,227,276
2011,113,Dallas County,47,47 yrs,32985,16605,16380,12366,6264,6102,8093,3609,4484,10416,5665,4751,1636,831,805,474,236,238
2011,113,Dallas County,48,48 yrs,33055,16379,16676,13118,6656,6462,8000,3542,4458,9863,5173,4690,1586,779,807,488,229,259
2011,113,Dallas County,49,49 yrs,32476,16072,16404,13540,6737,6803,7897,3591,4306,9189,4855,4334,1437,701,736,413,188,225
2011,113,Dallas County,50,50 yrs,32826,16362,16464,13728,6891,6837,8002,3642,4360,9132,4864,4268,1500,758,742,464,207,257
2011,113,Dallas County,51,51 yrs,32681,16323,16358,13969,6966,7003,7970,3686,4284,8764,4717,4047,1513,719,794,465,235,230
2011,113,Dallas County,52,52 yrs,30866,15213,15653,13696,6875,6821,7469,3377,4092,7898,4128,3770,1398,643,755,405,190,215
2011,113,Dallas County,53,53 yrs,30507,15032,15475,13939,6975,6964,7339,3356,3983,7328,3793,3535,1461,689,772,440,219,221
2011,113,Dallas County,54,54 yrs,29537,14358,15179,13623,6702,6921,7088,3166,3922,6948,3593,3355,1476,708,768,402,189,213
2011,113,Dallas County,55,55 yrs,28635,14075,14560,13555,6796,6759,6722,3043,3679,6584,3395,3189,1368,633,735,406,208,198
2011,113,Dallas County,56,56 yrs,27612,13469,14143,13481,6648,6833,6362,2863,3499,6103,3168,2935,1301,624,677,365,166,199
2011,113,Dallas County,57,57 yrs,25219,12003,13216,12648,6047,6601,5632,2503,3129,5342,2706,2636,1252,580,672,345,167,178
2011,113,Dallas County,58,58 yrs,24832,11866,12966,12626,6128,6498,5482,2419,3063,5035,2550,2485,1332,610,722,357,159,198
2011,113,Dallas County,59,59 yrs,23315,10928,12387,11953,5707,6246,5294,2248,3046,4607,2279,2328,1131,532,599,330,162,168
2011,113,Dallas County,60,60 yrs,22614,10717,11897,11326,5476,5850,5268,2243,3025,4491,2289,2202,1234,562,672,295,147,148
2011,113,Dallas County,61,61 yrs,21453,10052,11401,11067,5275,5792,4861,2089,2772,4018,1990,2028,1212,565,647,295,133,162
2011,113,Dallas County,62,62 yrs,20569,9686,10883,10767,5130,5637,4713,2044,2669,3759,1895,1864,1059,498,561,271,119,152
2011,113,Dallas County,63,63 yrs,20434,9495,10939,11306,5340,5966,4486,1960,2526,3420,1622,1798,955,442,513,267,131,136
2011,113,Dallas County,64,64 yrs,19479,9085,10394,11331,5425,5906,3844,1650,2194,3153,1480,1673,877,417,460,274,113,161
2011,113,Dallas County,65,65 yrs,15232,7065,8167,8142,3825,4317,3279,1408,1871,2838,1369,1469,772,359,413,201,104,97
2011,113,Dallas County,66,66 yrs,15220,6939,8281,8297,3822,4475,3325,1363,1962,2565,1265,1300,795,387,408,238,102,136
2011,113,Dallas County,67,67 yrs,14500,6733,7767,8190,3921,4269,2944,1260,1684,2446,1123,1323,712,336,376,208,93,115
2011,113,Dallas County,68,68 yrs,13727,6242,7485,7959,3667,4292,2829,1193,1636,2096,967,1129,691,338,353,152,77,75
2011,113,Dallas County,69,69 yrs,11969,5364,6605,6909,3141,3768,2513,1045,1468,1848,864,984,544,239,305,155,75,80
2011,113,Dallas County,70,70 yrs,11461,5110,6351,6588,2998,3590,2389,945,1444,1834,861,973,523,243,280,127,63,64
2011,113,Dallas County,71,71 yrs,10541,4662,5879,6108,2741,3367,2132,872,1260,1687,763,924,493,235,258,121,51,70
2011,113,Dallas County,72,72 yrs,9935,4425,5510,5932,2695,3237,1940,794,1146,1496,666,830,458,225,233,109,45,64
2011,113,Dallas County,73,73 yrs,9288,4136,5152,5601,2530,3071,1768,725,1043,1403,633,770,421,205,216,95,43,52
2011,113,Dallas County,74,74 yrs,8618,3711,4907,5186,2260,2926,1679,665,1014,1250,558,692,415,190,225,88,38,50
2011,113,Dallas County,75,75 yrs,8325,3559,4766,5137,2256,2881,1554,575,979,1173,526,647,360,168,192,101,34,67
2011,113,Dallas County,76,76 yrs,8138,3361,4777,5137,2108,3029,1507,622,885,1101,460,641,308,141,167,85,30,55
2011,113,Dallas County,77,77 yrs,7482,3141,4341,4779,2016,2763,1403,538,865,977,440,537,258,118,140,65,29,36
2011,113,Dallas County,78,78 yrs,7056,2856,4200,4611,1911,2700,1303,449,854,838,356,482,235,113,122,69,27,42
2011,113,Dallas County,79,79 yrs,6691,2740,3951,4565,1903,2662,1029,370,659,800,350,450,236,93,143,61,24,37
2011,113,Dallas County,80,80 yrs,6453,2557,3896,4389,1773,2616,1019,353,666,777,322,455,205,90,115,63,19,44
2011,113,Dallas County,81,81 yrs,6268,2414,3854,4255,1684,2571,1022,318,704,735,313,422,202,81,121,54,18,36
2011,113,Dallas County,82,82 yrs,5710,2169,3541,4027,1592,2435,903,274,629,565,216,349,169,71,98,46,16,30
2011,113,Dallas County,83,83 yrs,5057,1879,3178,3592,1343,2249,734,252,482,534,201,333,142,66,76,55,17,38
2011,113,Dallas County,84,84 yrs,4754,1794,2960,3442,1315,2127,663,201,462,513,224,289,97,35,62,39,19,20
2011,113,Dallas County,85,85 yrs,4497,1625,2872,3289,1243,2046,657,197,460,416,133,283,106,41,65,29,11,18
2011,113,Dallas County,86,86 yrs,4029,1345,2684,3034,1003,2031,519,151,368,361,139,222,91,40,51,24,12,12
2011,113,Dallas County,87,87 yrs,3518,1145,2373,2632,869,1763,445,107,338,322,127,195,89,31,58,30,11,19
2011,113,Dallas County,88,88 yrs,3070,1027,2043,2331,775,1556,399,111,288,237,103,134,75,29,46,28,9,19
2011,113,Dallas County,89,89 yrs,2612,855,1757,2034,683,1351,314,85,229,209,67,142,43,20,23,12,0,12
2011,113,Dallas County,90,90 yrs,2219,674,1545,1691,529,1162,279,63,216,189,62,127,39,13,26,21,7,14
2011,113,Dallas County,91,91 yrs,1703,520,1183,1299,403,896,228,57,171,123,40,83,36,13,23,17,7,10
2011,113,Dallas County,92,92 yrs,1310,361,949,1010,260,750,175,47,128,96,42,54,19,7,12,10,5,5
2011,113,Dallas County,93,93 yrs,1027,279,748,783,208,575,148,35,113,63,25,38,26,9,17,7,2,5
2011,113,Dallas County,94,94 yrs,748,168,580,578,128,450,110,21,89,46,14,32,9,4,5,5,1,4
2011,113,Dallas County,95,95+ yrs,2015,436,1579,1441,289,1152,380,83,297,140,51,89,36,9,27,18,4,14
2012,113,Dallas County,-1,All Ages,2441092,1205220,1235872,785588,384461,401127,538381,248435,289946,943086,486644,456442,130322,64716,65606,43715,20964,22751
2012,113,Dallas County,0,< 1 yr,39590,20173,19417,9298,4742,4556,8002,4076,3926,18984,9680,9304,2044,1037,1007,1262,638,624
2012,113,Dallas County,1,1 yr,39053,19901,19152,9165,4670,4495,7834,3989,3845,18833,9595,9238,2007,1027,980,1214,620,594
2012,113,Dallas County,2,2 yrs,38137,19439,18698,6959,3599,3360,7852,4022,3830,20347,10272,10075,1847,970,877,1132,576,556
2012,113,Dallas County,3,3 yrs,38493,19599,18894,6854,3482,3372,8076,4075,4001,20593,10549,10044,1861,950,911,1109,543,566
2012,113,Dallas County,4,4 yrs,39623,20333,19290,6956,3523,3433,8340,4304,4036,21281,10963,10318,1892,956,936,1154,587,567
2012,113,Dallas County,5,5 yrs,39290,20187,19103,6858,3571,3287,8424,4342,4082,21174,10875,10299,1816,909,907,1018,490,528
2012,113,Dallas County,6,6 yrs,38559,19638,18921,6712,3466,3246,8433,4274,4159,20608,10479,10129,1792,912,880,1014,507,507
2012,113,Dallas County,7,7 yrs,37717,19202,18515,6730,3467,3263,8236,4183,4053,20119,10219,9900,1738,888,850,894,445,449
2012,113,Dallas County,8,8 yrs,36944,18796,18148,6648,3411,3237,8197,4104,4093,19483,9923,9560,1716,907,809,900,451,449
2012,113,Dallas County,9,9 yrs,36253,18435,17818,6492,3366,3126,8108,4083,4025,19115,9706,9409,1675,839,836,863,441,422
2012,113,Dallas County,10,10 yrs,36931,18839,18092,6621,3410,3211,8389,4253,4136,19560,9986,9574,1564,782,782,797,408,389
2012,113,Dallas County,11,11 yrs,36881,18913,17968,6780,3553,3227,8235,4233,4002,19394,9885,9509,1670,855,815,802,387,415
