Area_Name,Percentage Change
Collin,31.9
Dallas,8.9
Denton,33.7
Ellis,26.2
Hood,17.9
Hunt,13.9
Johnson,17.0
Kaufman,40.5
Parker,27.0
Rockwall,33.9
Somervell,7.3
Tarrant,14.1

Source: Texas Demographic Center, 2022 Population Projections
